@relation traindata

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute class {class1,class2,class4,class5,class6,class8,class9,class10,class11,class3,class7}

@data
{0 0.0,1 2.0,2 0.0,3 -1.891,4 1.776,5 -0.518,6 1.461,7 -1.05,8 0.567,9 -0.307,10 1.152,11 -0.239,12 0.325,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.624,4 1.653,5 -0.156,6 2.023,7 -1.052,8 0.086,9 -0.752,10 1.341,11 0.196,12 0.71,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.763,4 3.252,5 -0.262,6 1.52,7 -1.684,8 -0.225,9 0.235,10 0.989,11 0.616,12 0.046,13 class8}
{0 0.0,1 2.0,2 0.0,3 -2.562,4 1.361,5 -0.94,6 1.333,7 -1.047,8 1.208,9 -0.316,10 1.055,11 0.354,12 -0.77,13 class11}
{0 0.0,1 2.0,2 0.0,3 -1.123,4 0.415,5 -1.954,6 0.563,7 -0.465,8 1.983,9 0.027,10 1.614,11 -0.568,12 0.007,13 class2}
{0 0.0,1 2.0,2 0.0,3 -1.28,4 0.798,5 -1.647,6 0.968,7 -0.418,8 1.609,9 -0.031,10 1.224,11 -0.374,12 0.044,13 class3}
{0 0.0,1 2.0,2 0.0,3 -1.475,4 1.557,5 -1.009,6 1.202,7 -0.846,8 0.883,9 -0.138,10 0.822,11 -0.165,12 0.198,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.205,4 1.804,5 -0.199,6 1.773,7 -1.089,8 0.312,9 -0.621,10 1.247,11 0.137,12 0.406,13 class5}
{0 0.0,1 2.0,2 0.0,3 -1.824,4 1.682,5 -0.669,6 1.483,7 -1.036,8 0.711,9 -0.249,10 1.193,11 -0.274,12 0.224,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.574,4 1.814,5 -0.167,6 1.826,7 -1.156,8 0.12,9 -0.609,10 1.543,11 0.11,12 0.75,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.693,4 3.067,5 -0.273,6 1.619,7 -1.905,8 0.045,9 0.006,10 1.347,11 0.346,12 0.36,13 class8}
{0 0.0,1 2.0,2 0.0,3 -3.545,4 1.926,5 -0.512,6 1.732,7 -1.109,8 1.006,9 0.021,10 0.82,11 0.731,12 -0.639,13 class9}
{0 0.0,1 2.0,2 0.0,3 -4.386,4 2.271,5 -0.157,6 1.536,7 -0.614,8 0.23,9 0.57,10 -0.117,11 1.074,12 0.397,13 class10}
{0 0.0,1 2.0,2 0.0,3 -2.53,4 1.492,5 -0.936,6 1.21,7 -1.154,8 1.316,9 -0.267,10 1.149,11 0.226,12 -0.77,13 class11}
{0 0.0,1 2.0,2 0.0,3 -1.215,4 -0.288,5 -2.423,6 0.834,7 -0.379,8 2.266,9 0.503,10 1.337,11 -1.36,12 -0.682,13 class1}
{0 0.0,1 2.0,2 0.0,3 -1.4,4 0.316,5 -1.894,6 0.83,7 -0.242,8 2.038,9 0.003,10 1.667,11 -0.515,12 -0.087,13 class2}
{0 0.0,1 2.0,2 0.0,3 -1.494,4 0.663,5 -1.58,6 1.191,7 -0.252,8 1.777,9 -0.072,10 1.189,11 -0.409,12 0.09,13 class3}
{0 0.0,1 2.0,2 0.0,3 -1.512,4 1.492,5 -1.053,6 1.262,7 -0.809,8 0.941,9 -0.122,10 0.807,11 -0.206,12 0.145,13 class4}
{0 0.0,1 2.0,2 0.0,3 -2.274,4 1.653,5 -0.226,6 1.857,7 -0.971,8 0.327,9 -0.605,10 1.121,11 0.121,12 0.291,13 class5}
{0 0.0,1 2.0,2 0.0,3 -1.804,4 1.556,5 -0.803,6 1.388,7 -0.989,8 0.751,9 -0.029,10 0.963,11 -0.228,12 0.297,13 class6}
{0 0.0,1 2.0,2 0.0,3 -2.447,4 1.914,5 -0.208,6 1.641,7 -1.159,8 0.104,9 -0.539,10 1.58,11 0.058,12 0.786,13 class7}
{0 0.0,1 2.0,2 0.0,3 -3.675,4 3.132,5 -0.241,6 1.587,7 -1.75,8 -0.222,9 0.039,10 1.052,11 0.545,12 0.233,13 class8}
{0 0.0,1 2.0,2 0.0,3 -4.376,4 2.216,5 -0.269,6 1.32,7 -0.66,8 0.159,9 0.719,10 0.008,11 1.058,12 0.472,13 class10}
{0 0.0,1 2.0,2 0.0,3 -2.52,4 1.52,5 -0.959,6 1.296,7 -1.103,8 1.149,9 -0.268,10 1.249,11 0.092,12 -0.682,13 class11}
{0 0.0,1 3.0,2 0.0,3 -1.614,4 0.287,5 -1.195,6 -0.252,7 -0.257,8 1.251,9 0.281,10 0.898,11 0.188,12 -0.423,13 class2}
{0 0.0,1 3.0,2 0.0,3 -1.891,4 0.988,5 -1.06,6 0.119,7 0.59,8 0.263,9 0.372,10 0.39,11 -0.376,12 -0.655,13 class3}
{0 0.0,1 3.0,2 0.0,3 -2.464,4 1.968,5 0.026,6 0.078,7 -0.542,8 0.074,9 0.051,10 0.596,11 0.26,12 -0.437,13 class6}
